Yb	Pb	Ca	Ti	Mo	Sn	Cd	Ag	La	Cs	W	Sb	Ta	V	Fe	Bi	Ce	Nb	Cu	I	B	Te	Al	Zr	Gd	Na	Ga	Cl	S	Si	O	F	Mn	Ba	K	Zn	N	Li	Ge	Y	Sr	P	Mg	Er	As	Tg	target	predicted_target	predicted_Tg
0.0	0.0	0.009613521374927334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21313760831236675	0.0	0.10582130412703088	0.0	0.0	0.0	0.0	0.0	0.0	0.024840970968797883	0.5921602230942486	0.0	0.0	0.019201960748876472	0.0	0.0	0.0	0.0	0.0	0.0	0.016022450624875575	0.0	0.019201960748876472	0.0	0.0	873.15	0.6013222685169242	0.59624046	865.771
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27876990278769903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.639384906393849	0.0	0.0	0.0818451908184519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	579.15	0.3988499018628834	0.4168164	605.2383
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08365422372593323	0.0	0.023311198251660132	0.0	0.020617158453713126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14195408935344336	0.0	0.0	0.008458834365587423	0.0	0.0	0.0	0.0	0.0	0.01863268860254836	0.6125685540573585	0.0	0.0	0.0	0.0	0.0754166043437547	0.0	0.0	0.0	0.015386648846001341	0.0	0.0	0.0	0.0	0.0	875.15	0.602699631555387	0.604604	877.9153
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11111110666666643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6666666399999983	0.0	0.0	0.03703704222222254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1851852111111127	0.0	0.0	0.0	848.15	0.5841052305361384	0.5773378	838.32336
0.0	0.0	0.05990145640591262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1092763934434164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5726698656398082	0.0	0.0	0.0	0.0	0.0	0.0	0.1116338933019664	0.14651839120889654	0.0	0.0	0.0	0.0	0.0	0.0	800.15	0.5510485176130296	0.54142547	786.1769
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10924771092477108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12450001245000122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6441858644185864	0.0	0.0	0.0	0.0	0.1220664122066412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	645.15	0.44430288213215785	0.45380208	658.94336
0.0	0.13157897499999474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10526317999999578	0.0	0.0	0.0	0.0	0.3157894400000064	0.3157894400000064	0.0	0.0	0.0	0.026315785000000844	0.0	0.0	0.0	0.0	0.0	0.10526317999999578	0.0	0.0	0.0	419.15	0.2886608587858544	0.29838312	433.2672
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04587155724770655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6330274620183522	0.0	0.0	0.0	0.11926609284403443	0.0	0.0	0.0	0.0	0.0	0.0	0.2018348878899067	0.0	0.0	0.0	614.15	0.4229537550359835	0.4426169	642.7019
0.0	0.0	0.0240728695185426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04814574903708501	0.0	0.0	0.12036439759271203	0.0	0.0	0.0	0.21698109566037807	0.5904358881912822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	816.15	0.5620674219207326	0.56243825	816.6885
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01316179073706028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02777138155519736	0.0	0.0	0.0	0.0	0.03389161189793027	0.0	0.0	0.0	0.17294590968497092	0.5720114320326403	0.0	0.0	0.0	0.0	0.05715508320068465	0.0	0.11509990644559474	0.0	0.0	0.0	0.00796288444592153	0.0	0.0	0.0	751.15	0.5173031231706896	0.50739664	736.7653
